filename,prompt,group
sanqi-1.png,"Cute Japanese anime style children's storybook illustration, Studio Ghibli inspired, soft watercolor, big expressive eyes, ancient Chinese Three Kingdoms setting, kid-friendly, no blood, no text, landscape 16:9. Outside the walls of a grand river city: ZHOU YU, a handsome proud young commander in crimson-and-gold armor with a red cape, one arm in a sling bandage, stares up in comical horror — his jaw dropped — at the city walls, where green banners already fly and ZHUGE LIANG, a gentle scholar-strategist with a topknot, silk scarf headband, wispy beard, teal-green robe and white feather fan, waves down cheerfully from the battlements like a friendly neighbour. Zhou Yu's exhausted, bandaged soldiers slump behind him.",sanqi
sanqi-2.png,"Cute Japanese anime style children's storybook illustration, Studio Ghibli inspired, soft watercolor, big expressive eyes, ancient Chinese setting, kid-friendly. Cute anime watercolor storybook, no text, landscape 16:9. A riverbank at dusk: a beautiful boat sails away carrying LIU BEI, a kind-faced lord with a small beard in green-gold robes, and his bride LADY SUN, an elegant confident princess in red wedding silks — both waving politely. On the shore, rows of Wu soldiers sing teasingly with big open mouths (musical notes floating), while ZHOU YU (crimson armor, red cape) clutches his chest theatrically, face going from red to purple, steam puffing from his ears cartoon-style. His worried old DOCTOR, a small hunched man with a white beard, grey robe and a medicine box, rushes toward him with bandages.",sanqi
sanqi-3.png,"Cute Japanese anime style children's storybook illustration, Studio Ghibli inspired, soft watercolor, big expressive eyes, ancient Chinese setting, kid-friendly. Cute anime watercolor storybook, no text, landscape 16:9. Night before the shut gates of a great city: ZHOU YU on his knees on the road, fists raised to a dramatic starry sky, cape billowing, tears flying comically as he wails to the heavens. Behind the high wall, war-drums and four directions of distant army banners close in. On the wall above, a single calm lantern glows where a feather fan silhouette waves gently — polite, infuriating. The little old DOCTOR stands beside Zhou Yu holding out calming tea with a resigned expression. Dramatic but funny, operatic mood.",sanqi
pouch-hero.png,"Cute Japanese anime style children's storybook illustration, Studio Ghibli inspired, soft watercolor, warm lantern light, big expressive eyes, ancient Chinese Three Kingdoms setting, kid-friendly, no text, landscape 16:9. Inside a candlelit study: ZHUGE LIANG, gentle scholar-strategist with topknot, silk scarf headband, wispy beard, teal-green robe, white feather fan tucked under one arm, solemnly hands over THREE small glowing silk pouches — embroidered red, gold and blue — to ZHAO YUN, a young heroic general with kind determined eyes in gleaming white-silver armor and white cape, who receives them with a puzzled tilted head. Mysterious, warm, a little playful — like the start of a secret mission.",pouch
pouch-1.png,"Cute Japanese anime style children's storybook illustration, Studio Ghibli inspired, soft watercolor, big expressive eyes, ancient Chinese setting, kid-friendly. Cute anime watercolor storybook, no text, landscape 16:9. Close-up: ZHAO YUN (white-silver armor) holds the three embroidered silk pouches (red, gold, blue) in his open palms, examining them with narrowed suspicious eyes, a big cartoon question mark of body language. Behind him ZHUGE LIANG smiles the mischievous smile of someone who knows exactly how the story ends, fan half covering his face. Five hundred tiny soldiers board river boats in the background.",pouch
pouch-2.png,"Cute Japanese anime style children's storybook illustration, Studio Ghibli inspired, soft watercolor, big expressive eyes, ancient Chinese setting, kid-friendly. Cute anime watercolor storybook, no text, landscape 16:9. In a grand temple courtyard: the DOWAGER, a majestic grandmother in deep purple-and-gold robes with silver hair in an elaborate bun, inspects LIU BEI — kind gentle lord, small beard, green-gold robes — who bows deeply and respectfully. Her stern face is melting into an approving smile. Behind her, SUN QUAN, a young red-bearded lord in dark blue-gold robes, sweats nervously and stares at his own shoes. Peeking from behind a pillar: LADY SUN, a beautiful confident princess in red silks with a sword at her belt, sizing up her groom with an intrigued smirk.",pouch
pouch-3.png,"Cute Japanese anime style children's storybook illustration, Studio Ghibli inspired, soft watercolor, big expressive eyes, ancient Chinese setting, kid-friendly. Cute anime watercolor storybook, no text, landscape 16:9. On a country road: LADY SUN (red silks, sword at belt) stands in front of a carriage with arms crossed, delivering a magnificent royal scolding — sharp graceful pose, eyes flashing — at two large armored Wu officers who shrink, wilt and stare at the ground like scolded schoolboys, their thousands of soldiers behind them all leaning back. From the carriage window, LIU BEI and ZHAO YUN peek out with identical wide eyes. Funny, energetic, the princess unmistakably the most powerful person in the picture.",pouch
bird-hero.png,"Cute Japanese anime style children's storybook illustration, Studio Ghibli inspired, soft watercolor, big expressive eyes, ancient Chinese Spring-and-Autumn period setting, kid-friendly, no text, landscape 16:9. A magnificent large bird with shimmering five-colored feathers (red, gold, teal, blue, violet) perches serenely on the curved roof of an ancient Chinese palace at dawn, wings folded, eyes wise and patient. Below through the open hall doors, a lavish banquet glows with lanterns, wine cups and lounging figures. The bird watches it all from above. Magical, calm, slightly mysterious.",bird
bird-1.png,"Cute Japanese anime style children's storybook illustration, Studio Ghibli inspired, soft watercolor, big expressive eyes, ancient Chinese setting, kid-friendly. Cute anime watercolor storybook, no text, landscape 16:9. Inside a lavish ancient Chinese banquet hall: KING ZHUANG OF CHU, a young king with a small beginning beard, relaxed half-lidded eyes and a lazy grin, lounges sideways on cushions in loose red-and-gold robes, one hand holding a wine cup, the other a chicken drumstick, musicians and dancers around him. By the door hangs an ominous wooden sign (blank — no text) that worried ministers point at while whispering. One old minister facepalms. Rich colors, comic despair.",bird
bird-2.png,"Cute Japanese anime style children's storybook illustration, Studio Ghibli inspired, soft watercolor, big expressive eyes, ancient Chinese setting, kid-friendly. Cute anime watercolor storybook, landscape 16:9, no text. The banquet hall gone quiet: minister WU JU, a dignified middle-aged official in dark blue court robes with a tall black hat, bows while gesturing theatrically at the air, where a translucent, glowing five-colored BIRD made of swirling light hovers between him and the lounging KING ZHUANG. The king peers over his wine cup at the bird with one eyebrow raised — the first spark of a sharp mind showing through the lazy mask. Musicians frozen mid-note, wine cups halfway to mouths.",bird
