filename,prompt,group
rooster-hero.png,"Cute Japanese anime style children's storybook illustration, Studio Ghibli inspired, soft watercolor, big expressive eyes, ancient Chinese Warring States setting, kid-friendly, no text, landscape 16:9. Deep night in a narrow mountain pass: an ENORMOUS ancient wooden gate with iron studs — the gate of Hangu Pass — stands shut between torch-lit stone walls, under a sky full of stars. Before it wait travellers' carriages, and on top of one cart a scruffy SCRAWNY MAN with spiky hair and patched clothes flaps his elbows mid-rooster-crow, cheeks puffed, while confused sleepy gatekeepers peer down from the wall with lanterns. Comic tension, moonlight and torch glow.",rooster
rooster-1.png,"Same characters and same art style as before. Cute anime watercolor storybook, no text, landscape 16:9. A luxurious Qin guest residence: LORD MENGCHANG — an elegant, generous-faced noble in fine layered robes — sits at a table laden with delicious food, but gazes wistfully through a window barred with decorative lattice, chin on hand. Outside the door, armored guards stand ""politely."" Around him, several worried travelling guests whisper. In the background of the room, the KING OF QIN's advisors are visible through a doorway whispering to a huge imposing KING in black-and-gold robes with a jeweled crown. Gilded-cage mood, gentle humor.",rooster
rooster-2.png,"Same characters and same art style. Cute anime watercolor storybook, no text, no scary elements, landscape 16:9. Moonlit palace treasury: a SMALL WIRY CHEERFUL MAN dressed in a dog-fur hood and scruffy brown clothes slips out through a small square dog-door at the base of a great wall, hugging a folded MOON-WHITE FUR COAT that glows softly like snow. Behind the wall, treasury guards snooze upright beside racks of treasure. A crescent moon, a sleeping real dog beside the door with a ""zzz"" bubble mood (no letters). Sneaky, funny, storybook-charming.",rooster
rooster-3.png,"Same characters and same art style. Cute anime watercolor storybook, no text, landscape 16:9. The great gate of Hangu Pass swinging OPEN at night: carriages with LORD MENGCHANG and his guests race through the gap, horses at full gallop, while the SCRAWNY ROOSTER-MAN on the lead cart takes a proud bow. Everywhere in the dark valley, roosters of every colour crow furiously from fences, rooftops and baskets, sound-ripples spreading. The sleepy gatekeepers scratch their heads at the still-dark, star-filled sky. In the far distance behind, tiny pursuing riders' torches — comically too late. Triumphant, funny, full of motion.",rooster
elephant-hero.png,"Cute Japanese anime style children's storybook illustration, Studio Ghibli inspired, soft watercolor, big expressive eyes, ancient Chinese Three Kingdoms setting, kid-friendly, no text, landscape 16:9. A wide calm river at midday: a GENTLE GIANT GREY ELEPHANT with big kind anime eyes stands proudly on a large wooden cargo boat, which sits low in the water. At the boat's side, CAO CHONG — a small six-year-old boy with a round face, bright curious eyes, small topknot and blue-green child robes — leans over to scratch a mark at the waterline. On the bank, an astonished crowd of bearded ministers and soldiers watch, and CAO CAO — an imposing warlord with narrow sharp eyes, long black beard, black-and-gold armor and dark red cape — beams with fatherly pride. Sunny, joyful, storybook-clear.",elephant
elephant-1.png,"Same characters and same art style as before. Cute anime watercolor storybook, no text, landscape 16:9. A palace courtyard: the GENTLE GIANT ELEPHANT arrives walking tall and pleased with itself, ears like sails, while a huge crowd reacts comically — children pointing in delight, soldiers gaping, one dog mid-flee, a grandmother dropping her basket of buns. CAO CAO (black-and-gold armor, long beard) circles the elephant stroking his beard with sparkling curious eyes. Festive, funny, wonder-filled.",elephant
elephant-2.png,"Same characters and same art style. Cute anime watercolor storybook, no text, landscape 16:9. A grand hall: a row of TALL ELDERLY MINISTERS with magnificent beards all frozen mid-argument, mouths open like fish, while at knee-height little CAO CHONG (round face, topknot, blue-green robes) stands confidently pointing toward the river, explaining his idea with shining eyes. CAO CAO leans forward on his seat, delighted, chin on fist. Through the doorway behind them, the elephant peeks in one big kind eye. Warm comedy, the small boy clearly the hero of the frame.",elephant
elephant-3.png,"Same characters and same art style. Cute anime watercolor storybook, no text, landscape 16:9. Riverside scene: the boat now WITHOUT the elephant, being loaded by a cheerful chain of workers passing baskets of stones hand to hand; the hull sinks toward a scratched mark at the waterline as little CAO CHONG directs like a tiny conductor, one hand raised. On the bank, the ELEPHANT happily munches an entire leafy tree branch while ministers weigh stones basket by basket on a beam scale, counting on their fingers. Golden afternoon light, busy and joyful.",elephant
card-elephant.png,"Cute Japanese anime style children's storybook illustration, Studio Ghibli inspired, soft watercolor, big expressive eyes, kid-friendly, no text, landscape 16:9, poster composition. A gentle giant grey elephant with big kind anime eyes stands on a wooden boat on a sunny river; a small six-year-old boy with a topknot and blue-green robes leans over the side, scratching a bright mark at the waterline. Ripples circle outward; astonished bearded ministers crowd the distant bank. Simple, iconic, sunlit — a picture that says ""big problem, small genius.""",elephant
cottage-hero.png,"Cute Japanese anime style children's storybook illustration, Studio Ghibli inspired, soft watercolor, big expressive eyes, ancient Chinese Three Kingdoms countryside setting, kid-friendly, no text, landscape 16:9. A cozy thatched cottage in a snowy bamboo valley: LIU BEI — a kind-faced lord with a small beard in green-gold robes, snowflakes on his shoulders and eyebrows — bows politely at the wooden door, which is opened a crack by a SMALL BOY with twin hair-buns and a simple grey robe. Behind Liu Bei wait two figures with horses: GUAN YU, tall and dignified with a red-toned face and a magnificent long black beard in green robes, and ZHANG FEI, a huge burly warrior with a wild bristling black beard puffing an impatient cloud of steam-breath. Falling snow, warm lamplight from the cottage window. Gentle, wintry, full of heart.",cottage
